canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,match_count,overs,avg,eco,sr
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,T20,Middle,2,24,4,25,4,4.0,6.25,6.25,6.0
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,T20,Death,3,289,10,232,9,48.1,23.2,4.8166089965397925,28.9
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,Two Day,New Ball,1,42,4,38,4,7.0,9.5,5.428571428571429,10.5
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,Two Day,Older Ball,2,289,10,232,9,48.1,23.2,4.8166089965397925,28.9
phanindra_padigella,Phanindra Padigella,Phanindra Padigella,One Day,Middle,2,24,0,10,1,4.0,,2.5,
phanindra_padigella,Phanindra Padigella,Phanindra Padigella,T20,Death,3,24,0,10,1,4.0,,2.5,
phanindra_padigella,Phanindra Padigella,Phanindra Padigella,Two Day,Older Ball,2,24,0,10,1,4.0,,2.5,
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,One Day,Opening,1,252,4,116,8,42.0,29.0,2.761904761904762,63.0
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,One Day,Middle,2,126,4,69,5,21.0,17.25,3.2857142857142856,31.5
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,One Day,Death,3,132,4,37,6,22.0,9.25,1.6818181818181819,33.0
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,T20,Opening,1,144,2,66,8,24.0,33.0,2.75,72.0
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,T20,Middle,2,162,4,81,10,27.0,20.25,3.0,40.5
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,T20,Death,3,204,6,75,8,34.0,12.5,2.2058823529411766,34.0
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,Two Day,New Ball,1,294,4,144,10,49.0,36.0,2.938775510204082,73.5
raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,Two Day,Older Ball,2,216,8,78,8,36.0,9.75,2.1666666666666665,27.0
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,One Day,Middle,2,198,3,128,6,33.0,42.666666666666664,3.878787878787879,66.0
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,One Day,Death,3,84,8,56,5,14.0,7.0,4.0,10.5
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,T20,Middle,2,66,1,49,5,11.0,49.0,4.454545454545454,66.0
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,T20,Death,3,216,10,135,6,36.0,13.5,3.75,21.6
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,Two Day,New Ball,1,54,0,43,5,9.0,,4.777777777777778,
predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,Two Day,Older Ball,2,228,11,141,7,38.0,12.818181818181818,3.710526315789474,20.727272727272727
raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,One Day,Middle,2,12,0,10,2,2.0,,5.0,
raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,One Day,Death,3,6,0,3,1,1.0,,3.0,
raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,T20,Death,3,18,0,13,3,3.0,,4.333333333333333,
raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,Two Day,Older Ball,2,18,0,13,3,3.0,,4.333333333333333,
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,One Day,Middle,2,48,3,26,1,8.0,8.666666666666666,3.25,16.0
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,T20,Middle,2,18,2,17,1,3.0,8.5,5.666666666666667,9.0
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,T20,Death,3,30,1,9,1,5.0,9.0,1.8,30.0
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,Two Day,New Ball,1,12,2,8,1,2.0,4.0,4.0,6.0
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,Two Day,Older Ball,2,36,1,18,1,6.0,18.0,3.0,36.0
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,One Day,Opening,1,42,1,35,4,7.0,35.0,5.0,42.0
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,One Day,Middle,2,312,15,261,15,52.0,17.4,5.019230769230769,20.8
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,One Day,Death,3,12,0,10,1,2.0,,5.0,
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,T20,Opening,1,12,0,6,2,2.0,,3.0,
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,T20,Middle,2,144,8,118,10,24.0,14.75,4.916666666666667,18.0
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,T20,Death,3,210,8,182,11,35.0,22.75,5.2,26.25
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,Two Day,New Ball,1,150,6,124,10,25.0,20.666666666666668,4.96,25.0
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,Two Day,Older Ball,2,216,10,182,11,36.0,18.2,5.055555555555555,21.6
ravi_chowdary,Ravi Chowdary,Ravi Chowdary,One Day,Opening,1,123,1,64,7,20.3,64.0,3.1219512195121952,123.0
ravi_chowdary,Ravi Chowdary,Ravi Chowdary,One Day,Middle,2,97,0,73,6,16.1,,4.515463917525773,
ravi_chowdary,Ravi Chowdary,Ravi Chowdary,One Day,Death,3,56,1,38,3,9.2,38.0,4.071428571428571,56.0
ravi_chowdary,Ravi Chowdary,Ravi Chowdary,T20,Opening,1,102,1,55,6,17.0,55.0,3.235294117647059,102.0
ravi_chowdary,Ravi Chowdary,Ravi Chowdary,T20,Middle,2,52,0,47,5,8.4,,5.423076923076923,
