season,season_sort_key,player_name,team,grade,matches,innings,not_outs,runs,high_score,average,strike_rate,30s,50s,100s,ducks,fours,sixes,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1930/31,193000,A Glasspool,Georges River DCC,Historical club summary,,9,2,58,31,8.285714286,,,,,,,,1930-31,38,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Ryan,Georges River DCC,Historical club summary,,16,4,147,48,12.25,,,,,,,,1930-31,45,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Seddon,Georges River DCC,Historical club summary,,15,,205,37,13.66666667,,,,,,,,1930-31,22,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Seddon,Georges River DCC,Historical club summary,,2,,18,9,9,,,,,,,,1930-31,46,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,Alan Cox,Georges River DCC,Historical club summary,,1,,,,,,,,,,,,1930-31,8,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Alan Cox,Georges River DCC,Historical club summary,,18,1,118,19,6.941176471,,,,,,,,1930-31,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,C Avern,Georges River DCC,Historical club summary,,7,1,109,57,18.16666667,,,,,,,,1930-31,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,C Avern,Georges River DCC,Historical club summary,,4,,177,86,44.25,,,,,,,,1930-31,29,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,C Robinson,Georges River DCC,Historical club summary,,16,2,116,52,8.285714286,,,,,,,,1930-31,21,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,D Anderson,Georges River DCC,Historical club summary,,11,3,172,53,21.5,,,,,,,,1930-31,28,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,E Reid,Georges River DCC,Historical club summary,,19,2,330,81,19.41176471,,,,,,,,1930-31,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Griggs,Georges River DCC,Historical club summary,,20,4,276,69,17.25,,,,,,,,1930-31,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Hurst,Georges River DCC,Historical club summary,,1,1,13,13,,,,,,,,,1930-31,14,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,F Hurst,Georges River DCC,Historical club summary,,14,1,286,74,22,,,,,,,,1930-31,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Richards,Georges River DCC,Historical club summary,,18,3,173,99,11.53333333,,,,,,,,1930-31,20,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,G Gilbert,Georges River DCC,Historical club summary,,1,,,,,,,,,,,,1930-31,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,G Gilbert,Georges River DCC,Historical club summary,,8,1,21,9,3,,,,,,,,1930-31,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,G Parsons,Georges River DCC,Historical club summary,,18,2,642,141,40.125,,,,,,,,1930-31,18,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,H Clapham,Georges River DCC,Historical club summary,,22,1,191,60,9.095238095,,,,,,,,1930-31,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,H Hedstrom,Georges River DCC,Historical club summary,,5,,45,23,9,,,,,,,,1930-31,39,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,H Jesson,Georges River DCC,Historical club summary,,13,,88,19,6.769230769,,,,,,,,1930-31,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,H Webb,Georges River DCC,Historical club summary,,7,1,56,33,9.333333333,,,,,,,,1930-31,48,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Boardman,Georges River DCC,Historical club summary,,4,,25,15,6.25,,,,,,,,1930-31,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Boardman,Georges River DCC,Historical club summary,,16,,197,34,12.3125,,,,,,,,1930-31,31,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Lynch,Georges River DCC,Historical club summary,,1,,,,,,,,,,,,1930-31,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Mcguiness,Georges River DCC,Historical club summary,,24,2,361,53,16.40909091,,,,,,,,1930-31,44,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,L Duly,Georges River DCC,Historical club summary,,18,3,224,71,14.93333333,,,,,,,,1930-31,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,L Maltby,Georges River DCC,Historical club summary,,2,,9,9,9,,,,,,,,1930-31,16,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,L Maltby,Georges River DCC,Historical club summary,,2,1,2,2,2,,,,,,,,1930-31,43,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,M Jones,Georges River DCC,Historical club summary,,19,1,274,52,15.22222222,,,,,,,,1930-31,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Percy Eldridge,Georges River DCC,Historical club summary,,4,,27,19,6.75,,,,,,,,1930-31,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Percy Eldridge,Georges River DCC,Historical club summary,,17,1,328,57,20.5,,,,,,,,1930-31,35,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,R Bartley,Georges River DCC,Historical club summary,,1,,3,3,3,,,,,,,,1930-31,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,R Bartley,Georges River DCC,Historical club summary,,11,2,95,27,10.55555556,,,,,,,,1930-31,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,R Clarke,Georges River DCC,Historical club summary,,19,,198,64,10.42105263,,,,,,,,1930-31,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Reg Sommerlad,Georges River DCC,Historical club summary,,16,1,189,45,12.6,,,,,,,,1930-31,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,S Glasspool,Georges River DCC,Historical club summary,,14,3,128,30,11.63636364,,,,,,,,1930-31,37,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,T O'neill,Georges River DCC,Historical club summary,,17,2,66,18,4.4,,,,,,,,1930-31,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,T Whitaker,Georges River DCC,Historical club summary,,19,5,55,13,3.928571429,,,,,,,,1930-31,49,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,W Vale,Georges River DCC,Historical club summary,,14,7,46,15,6.571428571,,,,,,,,1930-31,23,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,13 6,Georges River DCC,Historical club summary,5,,1,80,1,,,,,,,,,1931-32,49,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,A Ryan,Georges River DCC,Historical club summary,,3,,,,,,,,,,,,1931-32,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Alan Cox,Georges River DCC,Historical club summary,,17,2,179,45,11.93333333,,,,,,,,1931-32,27,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,C Avern,Georges River DCC,Historical club summary,,19,5,389,68,27.78571429,,,,,,,,1931-32,4,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,C Hopkins,Georges River DCC,Historical club summary,,6,,67,20,11.16666667,,,,,,,,1931-32,31,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,C Robinson,Georges River DCC,Historical club summary,,3,1,28,13,14,,,,,,,,1931-32,18,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,C Robinson,Georges River DCC,Historical club summary,,9,1,57,20,7.125,,,,,,,,1931-32,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,D Anderson,Georges River DCC,Historical club summary,,18,4,216,25,15.42857143,,,,,,,,1931-32,25,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,E Reid,Georges River DCC,Historical club summary,,17,1,296,68,18.5,,,,,,,,1931-32,17,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,F Griggs,Georges River DCC,Historical club summary,,18,1,272,35,16,,,,,,,,1931-32,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,F Hurst,Georges River DCC,Historical club summary,,19,,210,42,11.05263158,,,,,,,,1931-32,32,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,F Richards,Georges River DCC,Historical club summary,,14,1,104,18,8,,,,,,,,1931-32,40,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,G Parsons,Georges River DCC,Historical club summary,,13,1,261,56,21.75,,,,,,,,1931-32,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,H Clapham,Georges River DCC,Historical club summary,,1,,15,15,15,,,,,,,,1931-32,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,H Clapham,Georges River DCC,Historical club summary,,2,1,13,7,13,,,,,,,,1931-32,26,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,H Jesson,Georges River DCC,Historical club summary,,17,1,141,25,8.8125,,,,,,,,1931-32,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,H Pollack,Georges River DCC,Historical club summary,,2,1,3,2,3,,,,,,,,1931-32,39,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,J Dixon,Georges River DCC,Historical club summary,,17,1,180,35,11.25,,,,,,,,1931-32,28,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,J Mcguiness,Georges River DCC,Historical club summary,,21,3,208,57,11.55555556,,,,,,,,1931-32,34,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,J Sutton,Georges River DCC,Historical club summary,,6,1,27,10,5.4,,,,,,,,1931-32,43,bexley_stats_spreadsheets.xlsx,excel,medium,clean
