source_file,source_sheet,source_row,player_name,season,metric_group,check_name,source_value,expected_value,difference,tolerance,issue_flag,severity,reason,action
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,batting,not_outs_not_above_innings,2.0,13.0,-11.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,batting,batting_average_reconciliation,17.54545455,17.55,-0.0045,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,bowling,high_numerator_zero_wickets,53.0,0,53.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,bowling,high_numerator_zero_overs,53.0,0,53.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,21,A Seddon,Summer 1929/30,batting,high_score_not_above_total_runs,46.0,233.0,-187.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,21,A Seddon,Summer 1929/30,batting,not_outs_not_above_innings,1.0,21.0,-20.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,21,A Seddon,Summer 1929/30,batting,batting_average_reconciliation,11.65,11.65,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,21,A Seddon,Summer 1929/30,bowling,bowling_average_reconciliation,26.86666667,26.87,-0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,22,Reg Sommerlad,Summer 1929/30,bowling,high_numerator_zero_wickets,20.0,0,20.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,22,Reg Sommerlad,Summer 1929/30,bowling,high_numerator_zero_overs,20.0,0,20.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,23,L Stuart,Summer 1929/30,bowling,bowling_average_reconciliation,9.0,9.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,23,L Stuart,Summer 1929/30,bowling,high_numerator_zero_overs,9.0,0,9.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,24,L Tustin,Summer 1929/30,batting,high_score_not_above_total_runs,56.0,241.0,-185.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,24,L Tustin,Summer 1929/30,batting,not_outs_not_above_innings,3.0,17.0,-14.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,24,L Tustin,Summer 1929/30,batting,batting_average_reconciliation,17.21428571,17.21,0.0043,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,24,L Tustin,Summer 1929/30,bowling,bowling_average_reconciliation,14.44444444,14.44,0.0044,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,24,L Tustin,Summer 1929/30,bowling,bowling_runs_not_wickets_semantic_check,780.0,14.44,765.56,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,25,W Vale,Summer 1929/30,batting,high_score_not_above_total_runs,19.0,78.0,-59.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,25,W Vale,Summer 1929/30,batting,not_outs_not_above_innings,3.0,19.0,-16.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,25,W Vale,Summer 1929/30,batting,batting_average_reconciliation,4.875,4.88,-0.005,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,26,F Wilton,Summer 1929/30,bowling,high_numerator_zero_wickets,21.0,0,21.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,26,F Wilton,Summer 1929/30,bowling,high_numerator_zero_overs,21.0,0,21.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,31,J Bannenberg,Summer 1929/30,bowling,bowling_average_reconciliation,26.0,26.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,31,J Bannenberg,Summer 1929/30,bowling,high_numerator_zero_overs,26.0,0,26.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,32,R Bartley,Summer 1929/30,batting,high_score_not_above_total_runs,31.0,63.0,-32.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,32,R Bartley,Summer 1929/30,bowling,bowling_average_reconciliation,27.88888889,27.89,-0.0011,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,33,R Clarke,Summer 1929/30,batting,high_score_not_above_total_runs,26.0,208.0,-182.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,33,R Clarke,Summer 1929/30,batting,not_outs_not_above_innings,1.0,21.0,-20.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,33,R Clarke,Summer 1929/30,batting,batting_average_reconciliation,10.4,10.4,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,33,R Clarke,Summer 1929/30,bowling,bowling_average_reconciliation,15.6,15.6,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,34,J Cook,Summer 1929/30,bowling,bowling_average_reconciliation,43.8,43.8,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,35,Alan Cox,Summer 1929/30,batting,high_score_not_above_total_runs,17.0,116.0,-99.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,35,Alan Cox,Summer 1929/30,batting,not_outs_not_above_innings,2.0,27.0,-25.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,35,Alan Cox,Summer 1929/30,batting,batting_average_reconciliation,4.64,4.64,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,35,Alan Cox,Summer 1929/30,bowling,bowling_average_reconciliation,17.0,17.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,35,Alan Cox,Summer 1929/30,bowling,high_numerator_zero_overs,34.0,0,34.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,36,W Dalton,Summer 1929/30,bowling,high_numerator_zero_wickets,47.0,0,47.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,36,W Dalton,Summer 1929/30,bowling,high_numerator_zero_overs,47.0,0,47.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,37,Percy Eldridge,Summer 1929/30,bowling,bowling_average_reconciliation,10.4,10.4,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,37,Percy Eldridge,Summer 1929/30,bowling,high_numerator_zero_overs,52.0,0,52.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,38,W Fleming,Summer 1929/30,batting,high_score_not_above_total_runs,17.0,41.0,-24.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,38,W Fleming,Summer 1929/30,batting,not_outs_not_above_innings,1.0,13.0,-12.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,38,W Fleming,Summer 1929/30,batting,batting_average_reconciliation,3.416666667,3.42,-0.0033,0.15,,,,
