sheet_name,row_count,max_columns,column_names,detected_season,detected_grades,detected_players,contains_batting,contains_bowling,contains_fielding,contains_match_results,contains_scorecards
1980-81,36,15, | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1980/81,,35,True,False,False,False,False
1981-82,38,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1981/82,,37,True,False,False,False,False
1982-83,33,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1982/83,,32,True,False,False,False,False
1983-84,32,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1983/84,,31,True,False,False,False,False
1984-85,37,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1984/85,,36,True,False,False,False,False
1985-86,48,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1985/86,,47,True,False,False,False,False
1986-87,53,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1986/87,,52,True,False,False,False,False
1987-88,64,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1987/88,,63,True,False,False,False,False
1988-89,70,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1988/89,,69,True,False,False,False,False
1989-90,75,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1989/90,,74,True,False,False,False,False
1990-91,63,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1990/91,,62,True,False,False,False,False
1991-92,64,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1991/92,,63,True,False,False,False,False
1992-93,67,15, | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1992/93,,66,True,False,False,False,False
1993-94,62,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1993/94,,61,True,False,False,False,False
1994-95,64,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1994/95,,63,True,False,False,False,False
1995-96,83,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1995/96,,82,True,False,False,False,False
1996-97,65,15, | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1996/97,,64,True,False,False,False,False
1997-98,72,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1997/98,,71,True,False,False,False,False
1998-99,70,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1998/99,,69,True,False,False,False,False
1999-00,85,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 1999/00,,84,True,False,False,False,False
2000-01,82,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2000/01,,81,True,False,False,False,False
2001-02,86,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2001/02,,85,True,False,False,False,False
2002-03,96,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2002/03,,95,True,False,False,False,False
2003-04,71,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2003/04,,70,True,False,False,False,False
2004-05,86,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2004/05,,85,True,False,False,False,False
2005-06,78,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2005/06,,77,True,False,False,False,False
2006-07,71,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2006/07,,70,True,False,False,False,False
