season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes,record_scope,match_count_policy_note
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,7120bf6f-5f1b-4b22-a023-063e5aa9e5a8,Glen Waverley Hawks - 2nd XI,f2fdfb96-af29-47c1-be9e-b33a6fd5b766,T20 E Grade - Field of View Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,T20 E Grade - Field of View Shield,T20,T20,T20,Open,Open/Mixed,300,False,False,True,False,record_scope=T20,T20,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,e84cbb09-d424-4faa-a709-d7d0f070b561,Glen Waverley Hawks - 2nd XI,de34d0a0-937d-4de3-bbe5-88856fe6b44f,"A Grade (80 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,A Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,030154b3-f20f-4a85-9def-b88abbb17cfa,Glen Waverley Hawks - 3rd XI,81dadd58-2166-4499-915b-5533eed42415,"E Grade (64 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,E Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,590e8503-b219-4387-ace6-ff0d47475ed3,Glen Waverley Hawks - Fast 9's BROWN,5907bb6c-cb3d-41a4-b7b3-6a5bb2008672,Fast 9's - Saturday,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Fast 9's - Saturday,Junior,Junior,Junior,Entry junior,Open/Mixed,800,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,62bd78e4-957b-4ec5-9907-87733f43634a,Glen Waverley Hawks - Fast 9's GOLD,44c732f8-4b5a-45a5-a922-9a16e059da9b,Fast 9's - Sunday Gold,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Fast 9's - Sunday Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,7091c6da-383e-4b6f-8866-d2f272b177a9,Glen Waverley Hawks - Super 7's BROWN,f3ae90e5-1e37-4997-8d2e-d62a0303b16f,Super 7's Sunday Blue,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Super 7's Sunday Blue,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,6ff4e695-5a33-4d7c-9003-cea8e06374c2,Glen Waverley Hawks - Super 7's GOLD,f3ae90e5-1e37-4997-8d2e-d62a0303b16f,Super 7's Sunday Blue,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Super 7's Sunday Blue,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,581d225f-5916-4b42-b288-fa38aae85c9c,Glen Waverley Hawks - U/12 BROWN,1708ca6f-e91b-4278-9fb5-757d56f1952e,Modern Orthodontics Under 12 - Friday White,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,U12 - Friday White,Junior,Junior,Junior,U12,Open/Mixed,700,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,5f7c0229-3568-4a6a-9f33-d09c99a04b61,Glen Waverley Hawks - U/12 GOLD,2b64c103-3835-4a54-a5f2-bde1c13eebe2,Modern Orthodontics Under 12 - Friday Blue,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,U12 - Friday Blue,Junior,Junior,Junior,U12,Open/Mixed,700,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,a136ccdd-1d39-4b6d-84df-416442ac0e17,Glen Waverley Hawks - U/14,93228feb-145d-42ee-94ee-3d1b1a55c6b0,Modern Orthodontics Under 14 - Friday Gold,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,U14 - Friday Gold,Junior,Junior,Junior,U14,Open/Mixed,600,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
