raw_grade_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes
Under 14 Sat C Grade,U14 Saturday C Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Modern Orthodontics Under 12 - Friday Blue,U12 - Friday Blue,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Modern Orthodontics Under 12 - Friday White,U12 - Friday White,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 - Friday White,U12 - Friday White,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Modern Orthodontics U12 - A Grade,U12 A Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 A-Sth,U12 A-Sth,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 B Friday Grade (Blue),U12 B Friday Grade (Blue),Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 B Friday Grade (Gold),U12 B Friday Grade (Gold),Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 B Friday Grade (White),U12 B Friday Grade (White),Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 B Grade (77/78 to 2000),U12 B Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 B-Sth Grade,U12 B-Sth Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Modern Orthodontics U12 - C Grade,U12 C Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 C Grade (77/78 to 2000),U12 C Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Fri A Grade,U12 Friday A Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Friday Blue,U12 Friday Blue,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Fri C Grade (Blue),U12 Friday C Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Fri C Grade (Gold),U12 Friday C Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Friday Gold,U12 Friday Gold,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Sat A Grade,U12 Saturday A Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Under 12 Sat B Grade,U12 Saturday B Grade,Junior,Junior,Junior,U12,Open/Mixed,700,false,true,true,false,record_scope=Junior
Anklbytrs (Black),Anklbytrs (Black),Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,true,record_scope=Junior; mapping requires POC review
Anklbytrs (Blue),Anklbytrs (Blue),Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,true,record_scope=Junior; mapping requires POC review
Anklbytrs (Gold),Anklbytrs (Gold),Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,true,record_scope=Junior; mapping requires POC review
Anklbytrs (White),Anklbytrs (White),Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,true,record_scope=Junior; mapping requires POC review
"E Grade (13 Player Grade - 70 Overs, Split Inns)","E Grade (13 Player Grade - 70 Overs, Split Inns)",Junior,Junior,Junior,U13,Open/Mixed,800,false,true,true,false,record_scope=Junior
"F Grade (13 Player Grade - 64 Overs, Split Inns)","F Grade (13 Player Grade - 64 Overs, Split Inns)",Junior,Junior,Junior,U13,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's (Stage 2) Saturday,Fast 9's (Stage 2) Saturday,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's (Stage 2) Sunday,Fast 9's (Stage 2) Sunday,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's (Stage 2) Sunday - Blue,Fast 9's (Stage 2) Sunday - Blue,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's (Stage 2) Sunday - Gold,Fast 9's (Stage 2) Sunday - Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's - Saturday,Fast 9's - Saturday,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's - Sunday Gold,Fast 9's - Sunday Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Fast 9's - Sunday White,Fast 9's - Sunday White,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
"G Grade (13 Player Grade - 64 Overs, Split Inns)","G Grade (13 Player Grade - 64 Overs, Split Inns)",Junior,Junior,Junior,U13,Open/Mixed,800,false,true,true,false,record_scope=Junior
"H Grade (13 Player Grade - 64 Overs, Split Inns)","H Grade (13 Player Grade - 64 Overs, Split Inns)",Junior,Junior,Junior,U13,Open/Mixed,800,false,true,true,false,record_scope=Junior
