match_id,innings_id,innings_number,innings_order,batting_team_id,bowling_team_id,over_number,bowler_participant_id,bowler_short_name,runs,wickets,legal_balls,wides,no_balls,boundaries,progress_runs_after_over,progress_wickets_after_over
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,45,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,4,0,6,0,0,0,115,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,46,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,4,0,6,0,0,1,119,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,47,3f94b948-cb92-49f3-a46d-7c4dbfce1823,M Sortino,2,0,6,0,0,0,121,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,48,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,5,0,6,0,0,1,126,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,49,3f94b948-cb92-49f3-a46d-7c4dbfce1823,M Sortino,2,0,6,0,0,0,128,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,50,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,0,0,6,0,0,0,128,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,51,3f94b948-cb92-49f3-a46d-7c4dbfce1823,M Sortino,4,0,6,0,0,0,132,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,52,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,5,0,6,0,0,1,137,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,53,3f94b948-cb92-49f3-a46d-7c4dbfce1823,M Sortino,4,1,6,0,0,0,141,8
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,54,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,9,0,6,0,0,2,150,8
