season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name
d1b386aa-ac78-4fb4-a434-94b03b69808a,Summer 2009/10,b1edc438-c890-465f-b87d-7fab7b78bf18,G Grade,04b4fe8f-a739-4ecf-8384-7eef80ea9bf8,G Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
d1b386aa-ac78-4fb4-a434-94b03b69808a,Summer 2009/10,08c8ccca-056c-4808-b33a-6bad6b799ae4,Quiney Shield,1e928784-46fe-4c60-a884-c8361897864a,Quiney Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,6a99afb7-e436-4d9c-ae11-6876c4b0dc6c,E Grade,83c835e3-1a78-496f-b5c0-b275e60b0cfe,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,bbccd2a9-56ea-4ac3-a1c8-53b48097ccaf,H Grade,fbb80bd5-4261-4476-babc-3c511b39fb86,H Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,8d51b4f9-673f-468e-9153-255090a4f45a,Woolnough Shield,42f7a72b-2702-46d7-aafd-69cb6b2b5ead,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
3a5d3c8d-38f5-4c33-b1eb-01aeced3cfd3,Summer 2007/08,21dd30a3-490b-4b63-a3d5-adb6d3a96dd9,E Grade,9ce139aa-4eb9-4641-bbce-805c5bf3233b,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
3a5d3c8d-38f5-4c33-b1eb-01aeced3cfd3,Summer 2007/08,3b6f9fef-7317-43fa-9bc4-62aa5017335e,H Grade,6100f05d-8d39-4bf6-b5d7-14a4c47c0e5a,H Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
3a5d3c8d-38f5-4c33-b1eb-01aeced3cfd3,Summer 2007/08,6cb93903-e44e-41ad-aafa-43808370e072,Woolnough Shield,42dce013-d174-4221-96f3-1d8f0c7e85c4,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
e9b37153-9187-4dad-b04d-cf5fa01ccb8e,Summer 2006/07,b03d62dd-bbbd-4c9d-964c-36e72bc33904,E Grade,f70926d6-f136-426e-a38c-908bc8f47e3d,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
e9b37153-9187-4dad-b04d-cf5fa01ccb8e,Summer 2006/07,d9aca741-678c-443b-a0c1-12b43c7cd54b,G Grade,a577eced-88e8-431a-bdb5-0b5cf6407dfd,G Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
